"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
"           1","        1100","4613.1563229","       39025","HomeImp","Other","2.3216972048","           0","           0","94.366666667","           1","           9","           ."
"           1","162.06479066"," 54374.03044"," 66177.01607","HomeImp","Other","4.9975413997","           0","           2","121.83333333","           0","          14","           ."
"           1","1292.0169063","11615.734546","       16700","HomeImp","Other","           4","           0","           0","149.46666667","           1","          10","           ."
"           1","783.12678066","           .","           .","","","           .","           .","           .","           .","           .","           .","           ."
"           1","        1700","52740.807781","59160.815393","HomeImp","Office","           3","           0","           0","93.333333333","           0","          14","           ."
"           1","988.83395106","       30548","5882.7308813","HomeImp","Other","           9","           0","           0","101.46600191","           1","           8","37.113613558"
"           1","        1800","       48649","38634.362586","HomeImp","Other","           5","           3","           2","        77.1","           1","          17","           ."
"           1","        1800","       28502","       43034","HomeImp","Other","8.5675779439","           0","           0","88.766029879","           0","           8","36.884894093"
"           1","        2000","       32700","3372.1455416","HomeImp","Other","0.7017995323","           0","           2","216.93333333","           1","          12","           ."
"           1","        2000","           .","42737.002789","HomeImp","Sales","          16","           0","           0","       115.8","           0","          13","           ."
"           1","1254.7035819","       22608","           .","","","9.1168256547","           .","           .","           .","           .","           .","           ."
"           1","211.53889327","20616.502098","7125.6648938","HomeImp","Office","9.2897442101","           0","           1","122.53333333","           1","           9","           ."
"           1","684.99610605","       45000","41420.135382","HomeImp","Other","           3","           0","           0","86.066666667","           2","          25","           ."
"           0","577.27318563","53488.824759","       87400","","Mgr","1.5281809059","           0","           0","147.13333333","           0","          24","           ."
"           1","        2100","       71000","       83850","HomeImp","Other","           8","           0","           1","         123","           0","          16","           ."
"           1","        2200","20355.871352","287.75473736","HomeImp","Other","           .","           0","           1","300.86666667","           0","           8","           ."
"           1","1386.5660014","7535.3038323","13209.702579","HomeImp","Mgr","6.7268786871","           2","           6","       122.9","           1","          22","           ."
"           1","        2200","       23030","           .","","","          19","           .","           .","           .","           .","           .","3.7113122995"
"           1","929.95583621","       28192","       40150","HomeImp","Other","3.0139823353","           0","           0","        54.6","           1","          16","           ."
"           0","1056.8095424","  66507.6733","      120953","HomeImp","Office","           2","           0","           0","90.992533467","           0","          13","31.588503178"
"           1","        2300","23078.650639","19938.052192","HomeImp","Other"," 0.265977481","           0","           1","122.26666667","           1","          14","           ."
"           1","1719.6797968","       50000","       73395","HomeImp","ProfExe","           5","           1","           0","           .","           1","           0","           ."
"           1","1574.0860928","11215.632558","       40800","HomeImp","Mgr","9.9767915839","           0","           0","        67.2","           2","          22","           ."
"           1","986.14889951","17294.330799","           .","HomeImp","Mgr","          22","           .","           2","121.73333333","           0","          10","           ."
"           1","        2400","           .","       17180","HomeImp","Other","           .","           0","           0","14.566666667","           3","           4","           ."
"           1","1262.5967285","30757.794562","       47471","HomeImp","Mgr","11.940308388","           0","           0","70.491080032","           1","          21","38.263600731"
"           0","1926.6316102","29007.394105","68817.827132","HomeImp","Office","           4","           0","           0","93.811774855","           0","          13","29.681827045"
"           1","        2500","       15000","       20200","HomeImp","","          18","           0","           0","136.06666667","           1","          19","           ."
"           1"," 1800.835279","25080.967024","21452.417102","HomeImp","Other","          10","           1","           2","276.96666667","           0","           9","           ."
"           0","2411.2547491","5529.1563435","36463.178292","HomeImp","Self","           .","           0","           0","         208","           0","          12","           ."
"           0","        2500","66455.884426","       78600","HomeImp","ProfExe","6.2936736375","           0","           0","255.73333333","           0","          12","           ."
"           1","        2800","       50795","       63100","HomeImp","Self","12.531691329","           2","          15","145.63333333","           3","          45","           ."
"           1","491.93368204","        4000","46944.714072","HomeImp","Other","8.9144593593","           4","           0","112.63333333","           2","           9","           ."
"           1","        2900","15212.263214","11189.659398","DebtCon","ProfExe","5.2756458322","           1","           0","165.33333333","           2","          26","           ."
"           0","2263.2771729","      103949","      112505","HomeImp","Office","0.4304454697","           0","           0"," 96.10232967","           0","          13","30.051136286"
"           0","2350.1307236","      104373","      120702","HomeImp","Office","1.5783937581","           0","           0","101.54029753","           0","          13","29.915859028"
"           1"," 2828.595929","        7750","48340.223078","HomeImp","Other","          16","           3","           0","122.20466276","           2","           8","36.211347998"
"           1","        2900","27716.638656","       70915","DebtCon","Mgr","1.3813926184","           0","           0","282.80165924","           3","          37"," 49.20639579"
"           1","62.060794356","      104570","      121729","HomeImp","Office","           2","           0","           0","85.884371895","           0","          14","32.059783267"
"           1","2889.8992594","        7000","20214.841962","HomeImp","Other","           3","           0","           0","        50.8","           5","           9","           ."
"           1","        3000","           .","3955.9788953","HomeImp","Other","0.0393625666","           0","           1","77.766666667","           0","           3","           ."
"           1","        3000","           .","20080.639144","HomeImp","Other","           1","           0","           1","        23.3","           1","           2","           ."
"           1","508.45156354","      119826","33976.379224","HomeImp","Other","6.8757872427","           0","           0","130.03335846","           0","          27","           ."
"           1","168.17919778"," 9458.791292","25140.391773","DebtCon","Other","0.5503341949","           0","           0","187.06666667","           0","          12","           ."
"           1","927.47885684","           .","3903.9395339","HomeImp","Other","           3","           0","           0","         9.3","          14","           2","           ."
"           1","953.98976046","           .","       14100","HomeImp","Other","           1","           0","           0","       104.2","           0","          19","           ."
"           1","2131.7325738","       47000","69640.402201","HomeImp","ProfExe","3.6614074482","           0","           1","262.16666667","           5","          26","           ."
"           1","        3000","       34542","45295.475704","HomeImp","Mgr","         8.5","           0","           2","62.366666667","           0","          10","           ."
"           0","        3000","       58000","46777.202768","HomeImp","Mgr","          10","           .","           2","211.93333333","           0","          25","           ."
"           0","        3000","8973.5670462","50633.966056","HomeImp","Office","          21","           0","           0","201.86666667","           0","          20","           ."
"           1","2232.0980014","       39589","       36100","HomeImp","Other","0.9542096234","           0","           0","153.16666667","           1","          14","           ."
"           0","2479.8840907","           .","32895.968381","","","           .","           .","           .","           .","           .","           .","           ."
"           0","        3200","       67848","30466.417723","HomeImp","Mgr","          10","           .","           1","206.42660206","           0","          25","40.115677278"
"           1"," 2064.536863","17116.177552","57671.938248","HomeImp","ProfExe","7.1701937482","           0","           4","122.03333333","           1","          25","           ."
"           1","        3200","       27200","38158.485234","HomeImp","Other","           .","           0","           0","298.13156403","           0","           7","35.553538789"
"           0","2077.9836322","       54000","       64850","HomeImp","Other"," 0.576954426","           0","           0","121.86666667","           3","          21","           ."
"           0","        3200","15289.285973","       87266","HomeImp","ProfExe","2.8916487698","           0","           0","250.63126922","           0","          12","42.909997351"
"           1","1324.5652697","       23159","           .","HomeImp","Mgr","          20","           .","           2","117.80574784","           0","           9","0.5244992154"
"           1","2682.4138352","138.22507193","      134527","HomeImp","Sales","7.7624569148","           1","           0","         139","           0","          36","           ."
"           1","        3300","      130518","80948.823428","DebtCon","Other","7.3777384639","           0","           6","192.28914897","           0","          33"," 35.73055919"
"           1","        3400","       37000","       52000","HomeImp","Office","           2","           0","           1","183.29991561","           0","           6","           ."
"           1","        3500","16502.317263","25231.764204","HomeImp","Other","5.2905771194","           0","           0","162.36666667","           0","          14","           ."
"           1","353.49492582","       19400","       20494","HomeImp","Other","3.2550280649","           0","           0","95.933333333","           0","           9","           ."
"           1","3284.7127658","       61584","26958.783681","HomeImp","ProfExe","          10","           .","           .","           .","           .","           .","           ."
"           1","2199.9577894","       41900","       52490","HomeImp","Mgr","1.8289600116","           0","           0","72.033333333","           2","           4","           ."
"           0","2584.0831921","       83700","30074.934734","HomeImp","ProfExe","           6","           0","           0","192.73333333","           1","          28","           ."
"           1","2746.5410048","       61327","       76484","HomeImp","Mgr","           9","           .","           2","202.51077515","           0","          25","41.516389699"
"           1","2663.5693717","4444.8970713","      114743","HomeImp","Office","           6","           0","           0","88.470452135","           0","          14","29.393543382"
"           1","3346.0444455","4923.5755134","18656.238137","DebtCon","Office","          13","           1","           4","        97.4","           0","          17","           ."
"           0","        3600","31395.486624","1803.9503561","HomeImp","Office","          20","           0","           0","204.27249884","           0","          20","20.470915508"
"           1","1956.6603969","       17857","17507.102657","HomeImp","Other","4.5202384328","           0","           0","129.71732313","           1","           9","26.634347518"
"           1","716.94489108","1852.4291359","45526.348542","HomeImp","Mgr","         1.6","           1","           6","252.63333333","           1","          25","           ."
"           0","3637.7487639","20542.494908","1798.9852164","HomeImp","Office","12.988073552","           0","           0","203.75153358","           0","          20","20.067042051"
"           0"," 1224.789627","           .","       73189","","","           .","           .","           .","           .","           .","           .","22.253949156"
"           0","75.774907449","150.54619941","42890.003729","HomeImp","Self","           .","           0","           0","204.64799167","           0","          11","42.173165882"
"           1","        3900","1318.1094056","       45960","HomeImp","Other","1.2966607284","           0","           0","146.12324219","           0","          14","24.478881191"
"           1","2186.3036085","       14500","  18839.2594","HomeImp","Other","2.5836520277","           0","           1","       150.3","           5","           8","           ."
"           0"," 230.3044012","43010.638005","       63000","DebtCon","ProfExe","4.5384330845","           0","           4","171.66666667","           1","          31","           ."
"           0","        3900","      102143","      118742","HomeImp","Office","1.3413900581","           0","           0","85.277365579","           0","          13","29.343921089"
"           1","2728.7521305","       21200","       39000","DebtCon","Mgr","           4","           0","           1","86.566666667","           2","          14","           ."
"           0","3746.1362629","46430.990402","33609.023249","HomeImp","Office","           1","           0","           0","94.724874167","           0","          13","29.390928055"
"           0","3755.0266719","       54543","       61777","HomeImp","Office","11.575208046","           0","           0","205.58668003","           0","          19","21.806563464"
"           0","        4000","           .","       80609","HomeImp","Other","         1.5","           0","           2","126.53333333","           3","          12","           ."
"           1","        4000","       26572","524.18555485","HomeImp","Office","          11","           0","           0","117.79510387","           0","           8","41.286491948"
"           1","2454.7844596","7428.1122984","       52012","HomeImp","ProfExe","          22","           3","           1","85.333333333","           1","           9","           ."
"           0"," 2789.056511"," 5947.227159","28617.191922","DebtCon","Other","4.0277593471","           0","           0","92.133333333","           1","          26","           ."
"           1","2.5880113256","17681.204317","56856.922283","HomeImp","Other"," 0.044755637","           0","           3","136.13333333","           0","          15","           ."
"           1","856.98459524","9447.1132352","66005.503653","HomeImp","Other"," 2.605495377","           0","           1","168.66666667","           0","          18","           ."
"           1","2188.9676741","  5064.32618","12118.620562","DebtCon","Other","           .","           0","           0","        12.2","           0","          17","           ."
"           1","        4000","       45000","       58350","HomeImp","Mgr","0.2977466447","           0","           0","         162","           3","          16","           ."
"           1","        4000","1690.4842927","9355.9429176","HomeImp","Other","          18","           0","           1","        85.8","           2","          23","           ."
"           0","405.14497478","       66000","41146.419302","HomeImp","Other"," 0.785211061","           2","           0","         279","           1","           6","           ."
"           0","        4000","           .","25181.962716","HomeImp","","           0","           0","           0","           .","           0","           0","           ."
"           0","773.65110664","       62000","       78000","HomeImp","Other","1.5643286694","           0","           0","109.56666667","           0","          15","           ."
"           0","1505.9133719","24145.826208","       63990","HomeImp","Sales","0.4589778397","           2","           0","       160.3","           1","          23","           ."
"           1","3802.3142162","63859.117119","       93000","HomeImp","ProfExe","         2.6","           1","           3","186.63333333","           .","           9","           ."
"           1","3076.1385314","       55000","34623.352972","DebtCon","Other","          12","           2","           0","       146.1","           0","          22","           ."
"           0","        4000","4834.1303452","46285.396969","HomeImp","Mgr","          11","           .","           1","212.34930388","           0","          25","39.128717628"
"           0","2276.9335985","       67533","10935.829284","HomeImp","Mgr","          10","           .","           2","227.79298841","           0","          25","39.166328703"
"           1","        4100","           .","3818.8899767","HomeImp","Other","           0","           0","           0","100.77465221","           0","          19","33.840919904"
"           1","291.52275105","15102.129994","42847.473395","HomeImp","Other","           8","           1","           2","63.933333333","           2","          15","           ."
"           0","        4100","       57992","       63797","DebtCon","ProfExe","           7","           0","           4","165.50503695","           1","          31"," 22.27817437"
"           0","        4200","       56544","       59218","HomeImp","Office","          19","           0","           0","211.00259912","           1","          20","19.027704425"
"           1","2905.7834515","       34800","26367.038713","HomeImp","Other","0.8594059706","           1","           0","        93.5","           1","           5","           ."
"           0","3148.2641473","       67700","52925.951192","DebtCon","Sales"," 0.920047699","           0","           0","128.83333333","           0","          31","           ."
"           1","1456.5472077","       44000","42885.608552","DebtCon","","           6","           .","           1","75.433333333","           .","          16","           ."
"           0"," 1171.384365","       66272","7769.1495967","HomeImp","Other","           3","           0","           0","110.27866259","           0","          15","43.450587911"
"           0","2790.8607643","       50216","35567.834605","HomeImp","Office","6.1847644882","           0","           0","209.87130224","           0","          19"," 20.20803267"
"           1","        4300","2638.4755774","       78698","DebtCon","Sales","           3","           0","           0","129.93286902","           0","          31","34.181376516"
"           0","        4300","       68815","51476.271124","HomeImp","Other","4.3438158288","           0","           0","105.12070881","           0","          14","41.806376152"
"           0"," 3122.190033","       72021","       80027","HomeImp","Other","0.3788968447","           2","           0","263.97030029","           0","           5","36.432093937"
"           0","3291.7616288","       53969"," 12132.47394","DebtCon","ProfExe","1.8534033344","           0","           3","162.39001067","           0","          30","23.581079239"
"           0","58.204057095","           .","       60250","","","           .","           .","           .","           .","           .","           .","           ."
"           1","        4400","23047.215169","41531.423728","DebtCon","Office","          14","           1","           3"," 89.86105825","           0","          17","39.158084834"
"           0","        4500","40206.230611","       79087","HomeImp","Other","2.9302068199","           1","           0","81.349065098","           0","          15"," 40.70530876"
"           0","847.01720758","           .","       77182","","","           .","           .","           .","           .","           .","           .","25.227252904"
"           1","3769.4985786","       39000","       66000","HomeImp","Other","           1","           0","           0","170.36666667","           1","          19","           ."
"           0","        4500","       71082","  18350.0292","HomeImp","Other","2.1279892205","           0","           0","118.76041007","           0","          14","41.421110521"
"           0","3254.2942612","           .","       49044","HomeImp","","           0","           0","           0","           .","           0","           0","11.652738796"
"           1","        4500","       57000","           .","HomeImp","Other","0.9851532667","           .","           .","       222.6","           1","          13","           ."
"           1","3482.5585193","14920.638174","       46000","HomeImp","Mgr","0.4153914002","           0","           1","       122.6","           2","          22","           ."
"           0","1938.5855766","       66517","22227.073683","DebtCon","ProfExe","6.1386006028","           0","           4","       125.8","           0","          34","           ."
"           0","        4500","11691.857108","43566.683048","HomeImp","Other","5.0979917017","           0","           0","86.166666667","           0","          18","           ."
"           1","1162.9026146","24345.205077","      146870","HomeImp","ProfExe","0.3582243886","           2","           0","203.86666667","           1","          20","           ."
"           1","        4500","       90000"," 91920.84753","HomeImp","Other","           6","           2","           3","        80.1","           3","          10","           ."
"           0","        4700","67617.187061","5833.2308748","","Mgr","0.4581066679","           0","           0","142.82439151","           0","          24","35.226997192"
"           0","3867.6406955","       71855","12043.584792","HomeImp","Other","1.6262313014","           2","           0","283.95953809","           0","           5","36.475473283"
"           0","3889.7842548","21992.935632","50614.836132","DebtCon","","2.9112794143","           .","           0"," 54.13647743","           .","          15","34.416507811"
"           1","        4700","       49100","56280.321923","HomeImp","ProfExe","         0.1","           0","           0","        61.8","           2","          17","           ."
"           0","1577.7380615","       88026","26171.873054","HomeImp","ProfExe","2.8510755426","           0","           0","182.24833156","           0","          27"," 29.20902258"
"           1","2638.2735961","       26900","22019.697345","HomeImp","ProfExe","           9","           1","           2","90.466666667","           1","          16","           ."
"           0","4226.5810554","25898.371793","       97191","","Mgr","2.5110023881","           0","           0","137.31972481","           0","          23","34.275293777"
"           0","        4800","       56067","40932.018518","DebtCon","ProfExe","           9","           0","           3","160.14631128","           1","          30","21.583760121"
